date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner
2025-05-30,Malta,Belgium,"Stars Arena Hofstade, Zemst",Malta,bat,T20,2025,Belgium
2025-05-31,Belgium,Malta,"Stars Arena Hofstade, Zemst",Malta,field,T20,2025,Belgium
2025-05-31,Austria,Switzerland,"Velden Cricket Ground, Latschach",Austria,bat,T20,2025,Switzerland
2025-05-31,Austria,Switzerland,"Velden Cricket Ground, Latschach",Switzerland,field,T20,2025,Austria
2025-05-31,Malta,Portugal,"Stars Arena Hofstade, Zemst",Malta,bat,T20,2025,Portugal
2025-05-31,Belgium,Portugal,"Stars Arena Hofstade, Zemst",Belgium,bat,T20,2025,Portugal
2025-06-01,Belgium,Portugal,"Stars Arena Hofstade, Zemst",Portugal,field,T20,2025,Belgium
2025-06-01,Austria,Switzerland,"Velden Cricket Ground, Latschach",Austria,bat,T20,2025,Austria
2025-06-01,Bangladesh,Pakistan,"Gaddafi Stadium, Lahore",Pakistan,field,T20,2025,Pakistan
2025-06-06,Jersey,Guernsey,"Grainville, St Saviour",Guernsey,field,T20,2025,Guernsey
2025-06-06,England,West Indies,"Riverside Ground, Chester-le-Street",England,bat,T20,2025,England
2025-06-07,Slovenia,Serbia,Lisicji Jarak Cricket Ground,Slovenia,bat,T20,2025,Serbia
2025-06-07,Guernsey,Jersey,"Grainville, St Saviour",Jersey,field,T20,2025,Jersey
2025-06-07,Jersey,Guernsey,"Grainville, St Saviour",Jersey,bat,T20,2025,Jersey
2025-06-08,Serbia,Slovenia,Lisicji Jarak Cricket Ground,Slovenia,field,T20,2025,Serbia
2025-06-08,Norway,Czech Republic,"Scott Page Field, Vinor",Norway,bat,T20,2025,Norway
2025-06-08,Czech Republic,Austria,"Scott Page Field, Vinor",Austria,field,T20,2025,Austria
2025-06-08,West Indies,England,"County Ground, Bristol",England,field,T20,2025,England
2025-06-09,Austria,Czech Republic,"Scott Page Field, Vinor",Austria,bat,T20,2025,Austria
2025-06-09,Norway,Austria,"Scott Page Field, Vinor",Norway,bat,T20,2025,Norway
2025-06-10,England,West Indies,"The Rose Bowl, Southampton",West Indies,field,T20,2025,England
2025-06-10,Norway,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,T20,2025,Norway
2025-06-10,Norway,Austria,"Scott Page Field, Vinor",Norway,bat,T20,2025,Austria
2025-06-11,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2025,Cambodia
2025-06-12,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2025,Cambodia
2025-06-12,Canada,Bahamas,"Maple Leaf North-East Ground, King City",Canada,bat,T20,2025,Canada
2025-06-12,Indonesia,Cambodia,Udayana Cricket Ground,Indonesia,bat,T20,2025,Cambodia
2025-06-12,Bermuda,Cayman Islands,"Maple Leaf North-East Ground, King City",Bermuda,bat,T20,2025,Bermuda
2025-06-13,Denmark,Finland,"Ishoj Cricket Club, Vejledalen",Finland,field,T20,2025,Denmark
2025-06-13,Bermuda,Bahamas,"Maple Leaf North-East Ground, King City",Bermuda,bat,T20,2025,Bermuda
2025-06-13,Canada,Cayman Islands,"Maple Leaf North-East Ground, King City",Canada,bat,T20,2025,Canada
2025-06-14,Cambodia,Indonesia,Udayana Cricket Ground,Cambodia,bat,T20,2025,No Result
2025-06-14,Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025,Indonesia
2025-06-14,Finland,Norway,"Ishoj Cricket Club, Vejledalen",Finland,bat,T20,2025,Finland
2025-06-14,Denmark,Sweden,Koge Cricket Club,Denmark,bat,T20,2025,Denmark
2025-06-14,Denmark,Norway,Koge Cricket Club,Denmark,bat,T20,2025,Norway
2025-06-14,Sweden,Finland,"Ishoj Cricket Club, Vejledalen",Finland,field,T20,2025,Sweden
2025-06-15,Finland,Norway,"Ishoj Cricket Club, Vejledalen",Finland,bat,T20,2025,Finland
2025-06-15,Sweden,Norway,"Ishoj Cricket Club, Vejledalen",Sweden,bat,T20,2025,Norway
2025-06-15,Scotland,Netherlands,"Titwood, Glasgow",Netherlands,field,T20,2025,Scotland
2025-06-15,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2025,Cambodia
2025-06-15,West Indies,Ireland,"Bready Cricket Club, Magheramason, Bready",Ireland,field,T20,2025,West Indies
2025-06-15,Indonesia,Cambodia,Udayana Cricket Ground,Indonesia,bat,T20,2025,Cambodia
2025-06-15,Canada,Bermuda,"Maple Leaf North-West Ground, King City",Bermuda,field,T20,2025,Canada
2025-06-15,Cayman Islands,Bahamas,"Maple Leaf North-West Ground, King City",Bahamas,field,T20,2025,Cayman Islands
2025-06-16,Cambodia,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025,Indonesia
2025-06-16,Netherlands,Nepal,"Titwood, Glasgow",Nepal,field,T20,2025,No Result
2025-06-16,Bahamas,Bermuda,"Maple Leaf North-West Ground, King City",Bahamas,bat,T20,2025,Bermuda
2025-06-16,Canada,Cayman Islands,"Maple Leaf North-West Ground, King City",Cayman Islands,field,T20,2025,Canada
2025-06-17,Scotland,Nepal,"Titwood, Glasgow",Nepal,field,T20,2025,Nepal
2025-06-18,Bahamas,Canada,"Maple Leaf North-West Ground, King City",Canada,field,T20,2025,Canada
2025-06-18,Cayman Islands,Bermuda,"Maple Leaf North-West Ground, King City",Bermuda,field,T20,2025,Bermuda
2025-06-18,Netherlands,Scotland,"Titwood, Glasgow",Scotland,field,T20,2025,Netherlands
2025-06-19,Bermuda,Bahamas,"Maple Leaf North-West Ground, King City",Bahamas,field,T20,2025,Bermuda
2025-06-19,Canada,Cayman Islands,"Maple Leaf North-West Ground, King City",Cayman Islands,field,T20,2025,Canada
2025-06-19,Netherlands,Nepal,"Titwood, Glasgow",Nepal,field,T20,2025,Nepal
2025-06-20,Scotland,Nepal,"Titwood, Glasgow",Scotland,bat,T20,2025,Scotland
2025-06-21,Hungary,Slovenia,"GB Oval, Szodliget",Hungary,bat,T20,2025,Hungary
2025-06-21,Bermuda,Cayman Islands,"Maple Leaf North-West Ground, King City",Cayman Islands,field,T20,2025,Cayman Islands
2025-06-21,Switzerland,Luxembourg,Pierre Werner Cricket Ground,Luxembourg,field,T20,2025,Switzerland
2025-06-21,Switzerland,Luxembourg,Pierre Werner Cricket Ground,Switzerland,bat,T20,2025,Switzerland
2025-06-21,Bahamas,Canada,"Maple Leaf North-West Ground, King City",Canada,field,T20,2025,Canada
2025-06-21,Hungary,Slovenia,"GB Oval, Szodliget",Hungary,bat,T20,2025,Hungary
2025-06-22,Slovenia,Hungary,"GB Oval, Szodliget",Slovenia,bat,T20,2025,Hungary
2025-06-22,Switzerland,Luxembourg,Pierre Werner Cricket Ground,Switzerland,bat,T20,2025,Luxembourg
2025-06-22,Cayman Islands,Bahamas,"Maple Leaf North-West Ground, King City",Bahamas,field,T20,2025,Cayman Islands
2025-06-26,Belgium,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,T20,2025,Belgium
2025-06-26,France,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",France,bat,T20,2025,Malta
2025-06-27,Hungary,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,T20,2025,Romania
2025-06-27,Belgium,France,"Moara Vlasiei Cricket Ground, Ilfov County",Belgium,bat,T20,2025,Belgium
2025-06-27,Hungary,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Austria,field,T20,2025,Austria
2025-06-28,Belgium,Austria,"Moara Vlasiei Cricket Ground, Ilfov County",Austria,field,T20,2025,Austria
2025-06-28,Malta,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,T20,2025,Malta
2025-06-29,Hungary,France,"Moara Vlasiei Cricket Ground, Ilfov County",France,field,T20,2025,Hungary
2025-07-05,Guernsey,Italy,"Sportpark Westvliet, Voorburg",Italy,field,T20,2025,Italy
2025-07-05,Jersey,Netherlands,"Sportpark Westvliet, Voorburg",Netherlands,field,T20,2025,Netherlands
2025-07-05,Malawi,Germany,"TCA Oval, Blantyre",Germany,field,T20,2025,Germany
2025-07-06,Bahrain,Germany,"TCA Oval, Blantyre",Bahrain,bat,T20,2025,Bahrain
2025-07-06,Philippines,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025,Philippines
2025-07-07,Tanzania,Germany,"TCA Oval, Blantyre",Tanzania,bat,T20,2025,Germany
2025-07-07,Malawi,Bahrain,"TCA Oval, Blantyre",Malawi,bat,T20,2025,Bahrain
2025-07-07,Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,T20,2025,Indonesia
2025-07-07,South Korea,Philippines,Udayana Cricket Ground,Philippines,field,T20,2025,Philippines
2025-07-08,Scotland,Netherlands,"Sportpark Westvliet, Voorburg",Scotland,bat,T20,2025,Scotland
2025-07-08,Indonesia,South Korea,Udayana Cricket Ground,South Korea,field,T20,2025,Indonesia
2025-07-08,Jersey,Guernsey,"Sportpark Westvliet, Voorburg",Guernsey,field,T20,2025,Jersey
2025-07-08,Bahrain,Tanzania,"TCA Oval, Blantyre",Tanzania,field,T20,2025,Tanzania
2025-07-09,Netherlands,Guernsey,"Sportpark Westvliet, Voorburg",Netherlands,bat,T20,2025,Netherlands
2025-07-09,South Korea,Philippines,Udayana Cricket Ground,Philippines,field,T20,2025,South Korea
2025-07-09,South Korea,Indonesia,Udayana Cricket Ground,South Korea,bat,T20,2025,Indonesia
2025-07-09,Italy,Scotland,"Sportpark Westvliet, Voorburg",Italy,bat,T20,2025,Italy
2025-07-10,Bangladesh,Sri Lanka,Pallekele International Cricket Stadium,Sri Lanka,field,T20,2025,Sri Lanka
2025-07-10,Indonesia,Philippines,Udayana Cricket Ground,Indonesia,bat,T20,2025,Philippines
2025-07-10,Philippines,South Korea,Udayana Cricket Ground,Philippines,bat,T20,2025,Philippines
2025-07-10,Bulgaria,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Gibraltar,field,T20,2025,Gibraltar
2025-07-10,Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,T20,2025,Bulgaria
2025-07-10,Malawi,Germany,"TCA Oval, Blantyre",Malawi,bat,T20,2025,Malawi
2025-07-10,Tanzania,Bahrain,"TCA Oval, Blantyre",Bahrain,field,T20,2025,Bahrain
2025-07-11,Gibraltar,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,T20,2025,Bulgaria
2025-07-11,Turkey,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Gibraltar,field,T20,2025,Gibraltar
2025-07-11,Scotland,Jersey,"Sportpark Westvliet, Voorburg",Jersey,field,T20,2025,Jersey
2025-07-11,Italy,Netherlands,"Sportpark Westvliet, Voorburg",Italy,bat,T20,2025,Netherlands
2025-07-12,Turkey,Gibraltar,"Vassil Levski National Sports Academy, Sofia",Turkey,bat,T20,2025,Gibraltar
2025-07-12,Indonesia,South Korea,Udayana Cricket Ground,South Korea,field,T20,2025,South Korea
2025-07-12,Germany,Tanzania,"TCA Oval, Blantyre",Tanzania,field,T20,2025,Tanzania
2025-07-12,Philippines,South Korea,Udayana Cricket Ground,Philippines,bat,T20,2025,Philippines
2025-07-12,Turkey,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,T20,2025,Turkey
2025-07-12,Malawi,Bahrain,"TCA Oval, Blantyre",Malawi,bat,T20,2025,Bahrain
2025-07-13,Germany,Malawi,"TCA Oval, Blantyre",Germany,bat,T20,2025,Germany
2025-07-13,Bahrain,Tanzania,"TCA Oval, Blantyre",Tanzania,field,T20,2025,Tanzania
2025-07-13,South Korea,Indonesia,Udayana Cricket Ground,South Korea,bat,T20,2025,Indonesia
2025-07-13,Indonesia,Philippines,Udayana Cricket Ground,Philippines,field,T20,2025,Philippines
2025-07-13,Gibraltar,Bulgaria,"Vassil Levski National Sports Academy, Sofia",Bulgaria,field,T20,2025,Bulgaria
2025-07-13,Bangladesh,Sri Lanka,Rangiri Dambulla International Stadium,Sri Lanka,field,T20,2025,Bangladesh
2025-07-14,Zimbabwe,South Africa,Harare Sports Club,South Africa,field,T20,2025,South Africa
2025-07-16,Sri Lanka,Bangladesh,"R Premadasa Stadium, Colombo",Sri Lanka,bat,T20,2025,Bangladesh
2025-07-16,New Zealand,South Africa,Harare Sports Club,South Africa,field,T20,2025,New Zealand
2025-07-17,Kenya,Nigeria,Entebbe Cricket Oval,Kenya,bat,T20,2025,Kenya
2025-07-18,Hong Kong,Malaysia,Singapore National Cricket Ground,Malaysia,field,T20,2025,Malaysia
2025-07-18,Singapore,Samoa,Singapore National Cricket Ground,Singapore,bat,T20,2025,Singapore
2025-07-18,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda
2025-07-18,Rwanda,Bahrain,"Gahanga International Cricket Stadium, Rwanda",Bahrain,field,T20,2025,Bahrain
2025-07-18,Zimbabwe,New Zealand,Harare Sports Club,New Zealand,field,T20,2025,New Zealand
2025-07-19,Qatar,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Qatar,bat,T20,2025,Saudi Arabia
2025-07-19,Singapore,Malaysia,Singapore National Cricket Ground,Malaysia,field,T20,2025,Malaysia
2025-07-19,Hong Kong,Samoa,Singapore National Cricket Ground,Hong Kong,bat,T20,2025,Hong Kong
2025-07-19,Malawi,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Malawi,bat,T20,2025,Rwanda
2025-07-19,Malawi,Bahrain,"Gahanga International Cricket Stadium, Rwanda",Bahrain,field,T20,2025,Bahrain
2025-07-19,Uganda,United Arab Emirates,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda
2025-07-20,Samoa,Malaysia,Singapore National Cricket Ground,Samoa,bat,T20,2025,Malaysia
2025-07-20,West Indies,Australia,"Sabina Park, Kingston, Jamaica",Australia,field,T20,2025,Australia
2025-07-20,Hong Kong,Singapore,Singapore National Cricket Ground,Singapore,field,T20,2025,Hong Kong
2025-07-20,Zimbabwe,South Africa,Harare Sports Club,South Africa,field,T20,2025,South Africa
2025-07-20,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,T20,2025,Bangladesh
2025-07-20,Malawi,Bahrain,"Gahanga International Cricket Stadium, Rwanda",Bahrain,field,T20,2025,Bahrain
2025-07-20,Rwanda,Bahrain,"Gahanga International Cricket Stadium, Rwanda",Rwanda,bat,T20,2025,Bahrain
2025-07-21,Saudi Arabia,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,T20,2025,Qatar
2025-07-21,Uganda,Kenya,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda
2025-07-21,Nigeria,United Arab Emirates,Entebbe Cricket Oval,Nigeria,bat,T20,2025,United Arab Emirates
2025-07-22,Samoa,Singapore,Singapore National Cricket Ground,Samoa,bat,T20,2025,Singapore
2025-07-22,Hong Kong,Malaysia,Singapore National Cricket Ground,Malaysia,field,T20,2025,Malaysia
2025-07-22,Bangladesh,Pakistan,"Shere Bangla National Stadium, Mirpur",Pakistan,field,T20,2025,Bangladesh
2025-07-22,West Indies,Australia,"Sabina Park, Kingston, Jamaica",Australia,field,T20,2025,Australia
2025-07-22,Bahrain,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2025,Bahrain
2025-07-22,Qatar,Saudi Arabia,"West End Park International Cricket Stadium, Doha",Saudi Arabia,field,T20,2025,Qatar
2025-07-22,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda
2025-07-22,South Africa,New Zealand,Harare Sports Club,New Zealand,field,T20,2025,New Zealand
2025-07-22,Malawi,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Malawi,bat,T20,2025,Rwanda
2025-07-23,Saudi Arabia,Qatar,"West End Park International Cricket Stadium, Doha",Qatar,field,T20,2025,No Result
2025-07-23,Malaysia,Singapore,Singapore National Cricket Ground,Singapore,field,T20,2025,Malaysia
2025-07-23,Samoa,Hong Kong,Singapore National Cricket Ground,Hong Kong,field,T20,2025,Hong Kong
2025-07-23,Kenya,United Arab Emirates,Entebbe Cricket Oval,Kenya,bat,T20,2025,United Arab Emirates
2025-07-23,Rwanda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,T20,2025,Malawi
2025-07-23,Bahrain,Malawi,"Gahanga International Cricket Stadium, Rwanda",Bahrain,bat,T20,2025,Bahrain
2025-07-24,Samoa,Malaysia,Singapore National Cricket Ground,Malaysia,field,T20,2025,Malaysia
2025-07-24,Hong Kong,Singapore,Singapore National Cricket Ground,Hong Kong,bat,T20,2025,Hong Kong
2025-07-24,New Zealand,Zimbabwe,Harare Sports Club,New Zealand,bat,T20,2025,New Zealand
2025-07-24,Pakistan,Bangladesh,"Shere Bangla National Stadium, Mirpur",Bangladesh,field,T20,2025,Pakistan
2025-07-25,West Indies,Australia,"Warner Park, Basseterre, St Kitts",Australia,field,T20,2025,Australia
2025-07-25,Romania,Austria,"GB Oval, Szodliget",Romania,bat,T20,2025,Austria
2025-07-25,Hungary,Romania,"GB Oval, Szodliget",Hungary,bat,T20,2025,Romania
2025-07-25,Hungary,Luxembourg,"GB Oval, Szodliget",Hungary,bat,T20,2025,Hungary
2025-07-25,Kenya,Uganda,Entebbe Cricket Oval,Uganda,field,T20,2025,Uganda
2025-07-25,Bahrain,Rwanda,"Gahanga International Cricket Stadium, Rwanda",Rwanda,field,T20,2025,Bahrain
2025-07-25,Malawi,Bahrain,"Gahanga International Cricket Stadium, Rwanda",Malawi,bat,T20,2025,Bahrain
2025-07-26,Rwanda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,T20,2025,Malawi
2025-07-26,United Arab Emirates,Nigeria,Entebbe Cricket Oval,United Arab Emirates,bat,T20,2025,United Arab Emirates
2025-07-26,Austria,Luxembourg,"GB Oval, Szodliget",Austria,bat,T20,2025,Austria
2025-07-26,Hungary,Austria,"GB Oval, Szodliget",Austria,field,T20,2025,Austria
2025-07-26,Hong Kong,Malaysia,Singapore National Cricket Ground,Malaysia,field,T20,2025,Malaysia
2025-07-26,Finland,Estonia,Estonian National Cricket and Rugby Field,Finland,bat,T20,2025,Estonia
2025-07-26,Romania,Luxembourg,"GB Oval, Szodliget",Luxembourg,field,T20,2025,Romania
2025-07-26,West Indies,Australia,"Warner Park, Basseterre, St Kitts",Australia,field,T20,2025,Australia
2025-07-26,New Zealand,South Africa,Harare Sports Club,South Africa,field,T20,2025,New Zealand
2025-07-27,Uganda,United Arab Emirates,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda
2025-07-27,Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat,T20,2025,Kenya
2025-07-27,Bahrain,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,T20,2025,Bahrain
2025-07-27,Estonia,Finland,Estonian National Cricket and Rugby Field,Finland,field,T20,2025,Finland
2025-07-27,Austria,Romania,"GB Oval, Szodliget",Romania,field,T20,2025,No Result
2025-07-27,Hungary,Luxembourg,"GB Oval, Szodliget",Luxembourg,field,T20,2025,Hungary
2025-07-28,West Indies,Australia,"Warner Park, Basseterre, St Kitts",Australia,field,T20,2025,Australia
2025-07-31,Pakistan,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",West Indies,field,T20,2025,Pakistan
2025-08-02,Pakistan,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Pakistan,bat,T20,2025,West Indies
2025-08-02,Switzerland,Estonia,Estonian National Cricket and Rugby Field,Switzerland,bat,T20,2025,Switzerland
2025-08-03,Pakistan,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Pakistan,bat,T20,2025,Pakistan
2025-08-03,Switzerland,Estonia,Estonian National Cricket and Rugby Field,Switzerland,bat,T20,2025,Switzerland
2025-08-03,Switzerland,Estonia,Estonian National Cricket and Rugby Field,Switzerland,bat,T20,2025,Switzerland
2025-08-07,Croatia,Cyprus,"Mladost Cricket Ground, Zagreb",Croatia,bat,T20,2025,Cyprus
2025-08-07,Cyprus,Croatia,"Mladost Cricket Ground, Zagreb",Croatia,field,T20,2025,Cyprus
2025-08-08,Cyprus,Croatia,"Mladost Cricket Ground, Zagreb",Cyprus,bat,T20,2025,Cyprus
2025-08-08,Croatia,Cyprus,"Mladost Cricket Ground, Zagreb",Croatia,bat,T20,2025,Cyprus
2025-08-08,Sweden,Austria,"Botkyrka Cricket Center, Stockholm",Sweden,bat,T20,2025,Austria
2025-08-08,Norway,France,"Botkyrka Cricket Center, Stockholm",France,field,T20,2025,Norway
2025-08-09,Norway,Sweden,"Botkyrka Cricket Center, Stockholm",Norway,bat,T20,2025,Norway
2025-08-09,France,Austria,"Botkyrka Cricket Center, Stockholm",France,bat,T20,2025,Austria
2025-08-10,Norway,Austria,"Botkyrka Cricket Center, Stockholm",Austria,field,T20,2025,Austria
2025-08-10,Sweden,France,"Botkyrka Cricket Center, Stockholm",Sweden,bat,T20,2025,France
2025-08-10,Australia,South Africa,"Marrara Stadium, Darwin",South Africa,field,T20,2025,Australia
2025-08-12,South Africa,Australia,"Marrara Stadium, Darwin",Australia,field,T20,2025,South Africa
2025-08-14,Guernsey,Papua New Guinea,"King George V Sports Ground, Castel",Papua New Guinea,field,T20,2025,Papua New Guinea
2025-08-16,South Africa,Australia,"Cazaly's Stadium, Cairns",Australia,field,T20,2025,Australia
2025-08-17,Sweden,Hungary,"Stubberudmyra Cricket Ground, Oslo",Hungary,field,T20,2025,Sweden
2025-08-17,Norway,Hungary,"Stubberudmyra Cricket Ground, Oslo",Norway,bat,T20,2025,Norway
2025-08-17,Sweden,Norway,"Stubberudmyra Cricket Ground, Oslo",Sweden,bat,T20,2025,Norway
2025-08-21,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2025,Romania
2025-08-21,Czech Republic,Romania,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,field,T20,2025,Czech Republic
2025-08-22,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,field,T20,2025,Romania
2025-08-22,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2025,Czech Republic
2025-08-23,Belgium,Austria,"Velden Cricket Ground, Latschach",Austria,field,T20,2025,Austria
2025-08-23,Austria,Belgium,"Velden Cricket Ground, Latschach",Austria,bat,T20,2025,Austria
2025-08-24,Belgium,Austria,"Velden Cricket Ground, Latschach",Belgium,bat,T20,2025,Austria
2025-08-24,Belgium,Austria,"Velden Cricket Ground, Latschach",Austria,field,T20,2025,Austria
2025-08-29,Afghanistan,Pakistan,"ed Arab Emirates T20I Tri-Series 2025 1st Match (N) -United Arab Emirates T20I Tri-Series 2025 T20I 1ST Sharjah Cricket Stadium, United Arab Emirates",,,T20,2025,Pakistan
2025-08-30,Pakistan,United Arab Emirates,Sharjah Cricket Stadium,Pakistan,bat,T20,2025,Pakistan
2025-08-30,Netherlands,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2025,Bangladesh
2025-08-30,Switzerland,Guernsey,"King George V Sports Ground, Castel",Guernsey,field,T20,2025,No Result
2025-08-30,Guernsey,Switzerland,"King George V Sports Ground, Castel",Switzerland,field,T20,2025,No Result
2025-09-01,United Arab Emirates,Afghanistan,"ed Arab Emirates T20I Tri-Series 2025 3rd Match (N) -United Arab Emirates T20I Tri-Series 2025 T20I 3RD Sharjah Cricket Stadium, United Arab Emirates",,,T20,2025,Afghanistan
2025-09-01,Netherlands,Bangladesh,Sylhet International Cricket Stadium,Bangladesh,field,T20,2025,Bangladesh
2025-09-02,Afghanistan,Pakistan,"ed Arab Emirates T20I Tri-Series 2025 4th Match (N) -United Arab Emirates T20I Tri-Series 2025 T20I 4TH Sharjah Cricket Stadium, United Arab Emirates",,,T20,2025,Afghanistan
2025-09-03,Bangladesh,Netherlands,Sylhet International Cricket Stadium,Netherlands,field,T20,2025,No Result
2025-09-03,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,T20,2025,Sri Lanka
2025-09-04,Pakistan,United Arab Emirates,Sharjah Cricket Stadium,Pakistan,bat,T20,2025,Pakistan
2025-09-05,United Arab Emirates,Afghanistan,"ed Arab Emirates T20I Tri-Series 2025 6th Match (N) -United Arab Emirates T20I Tri-Series 2025 T20I 6TH Sharjah Cricket Stadium, United Arab Emirates",,,T20,2025,Afghanistan
2025-09-06,Sri Lanka,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2025,Zimbabwe
2025-09-07,Pakistan,Afghanistan,"ited Arab Emirates T20I Tri-Series 2025 Final (N) -United Arab Emirates T20I Tri-Series 2025 T20I FINAL Sharjah Cricket Stadium, United Arab Emirates",,,T20,2025,Pakistan
2025-09-07,Zimbabwe,Sri Lanka,Harare Sports Club,Sri Lanka,field,T20,2025,Sri Lanka
2025-09-09,Afghanistan,Hong Kong,"of 2025 / Men's T20 Asia Cup / 1st Match, Group B (D/N) -Men's T20 Asia Cup 2025 1st Match, Group B (D/N) -Men's T20 Asia Cup 2025 T20I 1ST Abu Dhabi",,,T20,2025,Afghanistan
2025-09-10,South Africa,England,"Sophia Gardens, Cardiff",England,field,T20,2025,South Africa
2025-09-10,United Arab Emirates,India,Dubai International Cricket Stadium,India,field,T20,2025,India
2025-09-11,Hong Kong,Bangladesh,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,field,T20,2025,Bangladesh
2025-09-12,England,South Africa,"Old Trafford, Manchester",South Africa,field,T20,2025,England
2025-09-12,Pakistan,Oman,Dubai International Cricket Stadium,Pakistan,bat,T20,2025,Pakistan
2025-09-12,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,Eswatini
2025-09-12,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,Eswatini
2025-09-13,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,No Result
2025-09-13,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,Eswatini
2025-09-13,Bangladesh,Sri Lanka,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,field,T20,2025,Sri Lanka
2025-09-14,Eswatini,Mozambique,Malkerns Country Club oval,Eswatini,bat,T20,2025,No Result
2025-09-14,Pakistan,India,Dubai International Cricket Stadium,Pakistan,bat,T20,2025,India
2025-09-15,Hong Kong,Sri Lanka,Dubai International Cricket Stadium,Sri Lanka,field,T20,2025,Sri Lanka
2025-09-15,Zimbabwe,Namibia,"Queens Sports Club, Bulawayo",Namibia,field,T20,2025/26,Zimbabwe
2025-09-15,United Arab Emirates,Oman,"Zayed Cricket Stadium, Abu Dhabi",Oman,field,T20,2025,United Arab Emirates
2025-09-16,Afghanistan,Bangladesh,"of 2025 / Men's T20 Asia Cup / 9th Match, Group B (D/N) -Men's T20 Asia Cup 2025 9th Match, Group B (D/N) -Men's T20 Asia Cup 2025 T20I 9TH Abu Dhabi",,,T20,2025,Bangladesh
2025-09-16,Namibia,Zimbabwe,"Queens Sports Club, Bulawayo",Zimbabwe,field,T20,2025/26,Zimbabwe
2025-09-17,Ireland,England,"The Village, Malahide, Dublin",England,field,T20,2025,England
2025-09-17,Pakistan,United Arab Emirates,Dubai International Cricket Stadium,United Arab Emirates,field,T20,2025,Pakistan
2025-09-18,Namibia,Zimbabwe,"Queens Sports Club, Bulawayo",Namibia,bat,T20,2025/26,Namibia
2025-09-18,Afghanistan,Sri Lanka,"2025 / Men's T20 Asia Cup / 11th Match, Group B (D/N) -Men's T20 Asia Cup 2025 11th Match, Group B (D/N) -Men's T20 Asia Cup 2025 T20I 11TH Abu Dhabi",,,T20,2025,Sri Lanka
2025-09-19,India,Oman,"Zayed Cricket Stadium, Abu Dhabi",India,bat,T20,2025,India
